DataTime,NetMode,StatType,StatItem,ItemNum
20260316,NR,BasebandBoardStatistic,VBPd41,467
20260316,NR,BasebandBoardStatistic,VBPd02,264
20260316,NR,BasebandBoardStatistic,VBPd04,603
20260316,NR,BasebandBoardStatistic,VBPc5,98
20260316,NR,BasebandBoardStatistic,VBPd19,202
20260316,NR,BasebandBoardStatistic,VBPe04,183
20260316,NR,BasebandBoardStatistic,VBPd01,216
20260316,NR,BasebandBoardStatistic,VBPd24,131
20260316,NR,BasebandBoardStatistic,VBPe01,36
20260316,NR,BasebandBoardStatistic,VBPe41,95
20260316,NR,BasebandBoardStatistic,VBPe02,14
20260316,NR,BasebandBoardStatistic,VBPd23,1
20260316,NR,BasebandBoardStatistic,VBPe53,2
20260316,NR,BasebandBoardStatistic,VBPe54,2
20260316,NR,FrequencyBandStatistic,877.35_15M,676
20260316,NR,FrequencyBandStatistic,2144.55_20M,1310
20260316,NR,FrequencyBandStatistic,3408.96_100M,6779
20260316,NR,FrequencyBandStatistic,880.95_15M,1114
20260316,NR,FrequencyBandStatistic,2144.55_40M,3538
20260316,NR,FrequencyBandStatistic,2118.15_40M,314
20260316,NR,FrequencyBandStatistic,3509.76_100M,356
20260316,NR,FrequencyBandStatistic,2114.55_20M,38
20260316,NR,VersionStatistic,V5.75.10.20A03#V5.75.10.20F15,14015
20260316,NR,VersionStatistic,V5.75.20.20A04#V5.75.20.20,110
