ManagedElementType,SubNetwork,ManagedElement,eNBId,cellLocalId,NE_Name,eNBName,cellName,enbci,cgi,mcc,mnc,plmn,earfcnDl,frequency,freqBandInd,pci,tac,cellSize,cellRSPortNum,maxCPTransPwr,cpTransPwr,cpSpeRefSigPwr,mimVersion,mimVersion_8,mimVersion_Range,connectionState,maintainState,administrativeState,ranShareSwitch,networkingMode,ipAddress,refENBFunctionNBIoT,refEUtranCellNBIoT,refECellEquipFunc,refPlmn,rfAppMode,refRfDevice,refBpDevice,rruNames,rruName_5,rruRadioMode,bbuName,functionMode,fiberNum,fiberRate,fiberCascade,McDeviceSet,ccName,aauUnitNum,vbpUnitNum,rruSN,bpSN,ccSN,bbuSN,rruOnAirTime,plmnIdList
SDR,441651,540710,540710,82,市区河源中学F,ENBFunctionNBIoT,市区河源中学F_NB_2（工程）,540710-82,460-11-540710-82,460,11,460-11,869.3,869.3,5,401,33904,1,1,40.0,40.0,29.2,V6.20.10.00,V6.20.10,V6.20.10.00,1,0,5,1,3,8.150.11.136,ENBFunctionNBIoT=540710,"ENBFunctionNBIoT=540710,EUtranCellNBIoT=18","ENBFunctionNBIoT=540710,ECellEquipmentFunctionNB=6","Operator=2,Plmn=1",0,"Equipment=1,Rack=56,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=8,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN1A,20493,0,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,1,1,,,,,,
SDR,441651,541106,541106,80,市区坚基二期越王广场室分F,ENBFunctionNBIoT,市区越王大道广告牌TF_NB_0（工程）,541106-80,460-11-541106-80,460,11,460-11,869.3,869.3,5,232,33909,1,1,40.0,40.0,29.2,V6.20.10.00,V6.20.10,V6.20.10.00,1,0,5,1,3,8.150.12.156,ENBFunctionNBIoT=541106,"ENBFunctionNBIoT=541106,EUtranCellNBIoT=20","ENBFunctionNBIoT=541106,ECellEquipmentFunctionNB=5","Operator=2,Plmn=1",0,"Equipment=1,Rack=55,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=8,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN1A,20493,1,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,1,1,,,,,,
SDR,441652,541190,541190,80,东源顺天支局F,ENBFunctionNBIoT,东源顺天LF_NB_0（工程）,541190-80,460-11-541190-80,460,11,460-11,869.3,869.3,5,195,33915,1,1,40.0,40.0,29.2,V6.20.10.00,V6.20.10,V6.20.10.00,1,0,5,1,3,8.150.18.10,ENBFunctionNBIoT=541190,"ENBFunctionNBIoT=541190,EUtranCellNBIoT=20","ENBFunctionNBIoT=541190,ECellEquipmentFunctionNB=4","Operator=2,Plmn=1",0,"Equipment=1,Rack=54,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=8,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN1A,20493,1,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,1,1,,,,,,
SDR,441652,541190,541190,82,东源顺天支局F,ENBFunctionNBIoT,东源顺天LF_NB_2（工程）,541190-82,460-11-541190-82,460,11,460-11,869.3,869.3,5,197,33915,1,1,40.0,40.0,29.2,V6.20.10.00,V6.20.10,V6.20.10.00,1,0,5,1,3,8.150.18.10,ENBFunctionNBIoT=541190,"ENBFunctionNBIoT=541190,EUtranCellNBIoT=22","ENBFunctionNBIoT=541190,ECellEquipmentFunctionNB=6","Operator=2,Plmn=1",0,"Equipment=1,Rack=56,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=8,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN1A,20493,1,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,1,1,,,,,,
SDR,441651,542435,542435,80,连平上坪LF_800M（工程）,ENBFunctionNBIoT,连平上坪LF_NB_0（工程）,542435-80,460-11-542435-80,460,11,460-11,869.5,869.5,5,459,33911,1,1,40.0,40.0,29.2,V6.20.10.00,V6.20.10,V6.20.10.00,1,0,5,1,3,8.150.24.3,ENBFunctionNBIoT=542435,"ENBFunctionNBIoT=542435,EUtranCellNBIoT=16","ENBFunctionNBIoT=542435,ECellEquipmentFunctionNB=1","Operator=2,Plmn=1",0,"Equipment=1,Rack=51,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=6,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN1A,20493,3,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,1,1,,,,,,
SDR,441651,540727,540727,80,市区双下百万山庄F,ENBFunctionNBIoT,市区中兴基地厂区西F_NB_0（工程）,540727-80,460-11-540727-80,460,11,460-11,869.5,869.5,5,425,33909,1,1,40.0,40.0,29.2,V6.20.10.00,V6.20.10,V6.20.10.00,1,0,5,1,3,8.150.16.130,ENBFunctionNBIoT=540727,"ENBFunctionNBIoT=540727,EUtranCellNBIoT=20","ENBFunctionNBIoT=540727,ECellEquipmentFunctionNB=3","Operator=2,Plmn=1",0,"Equipment=1,Rack=53,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=8,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN2,20481,1,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,1,1,,,,,,
SDR,441651,540727,540727,81,市区双下百万山庄F,ENBFunctionNBIoT,市区中兴基地厂区西F_NB_1（工程）,540727-81,460-11-540727-81,460,11,460-11,869.1,869.1,5,303,33909,1,1,40.0,40.0,29.2,V6.20.10.00,V6.20.10,V6.20.10.00,1,0,5,1,3,8.150.16.130,ENBFunctionNBIoT=540727,"ENBFunctionNBIoT=540727,EUtranCellNBIoT=21","ENBFunctionNBIoT=540727,ECellEquipmentFunctionNB=4","Operator=2,Plmn=1",0,"Equipment=1,Rack=54,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=8,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN2,20481,1,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,1,1,,,,,,
SDR,441651,540727,540727,82,市区双下百万山庄F,ENBFunctionNBIoT,市区中兴基地厂区西F_NB_2（工程）,540727-82,460-11-540727-82,460,11,460-11,869.3,869.3,5,304,33909,1,1,40.0,40.0,29.2,V6.20.10.00,V6.20.10,V6.20.10.00,1,0,5,1,3,8.150.16.130,ENBFunctionNBIoT=540727,"ENBFunctionNBIoT=540727,EUtranCellNBIoT=22","ENBFunctionNBIoT=540727,ECellEquipmentFunctionNB=5","Operator=2,Plmn=1",0,"Equipment=1,Rack=55,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=8,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN2,20481,1,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,1,1,,,,,,
SDR,441652,541387,541387,80,连平三角1号生活区F,ENBFunctionNBIoT,连平三角1号生活区F_NB_0（工程）,541387-80,460-11-541387-80,460,11,460-11,869.5,869.5,5,486,33919,1,1,40.0,40.0,29.2,V6.20.10.00,V6.20.10,V6.20.10.00,1,0,5,1,3,8.150.17.29,ENBFunctionNBIoT=541387,"ENBFunctionNBIoT=541387,EUtranCellNBIoT=16","ENBFunctionNBIoT=541387,ECellEquipmentFunctionNB=7","Operator=2,Plmn=1",0,"Equipment=1,Rack=57,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=8,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN1A,20493,2,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,1,1,,,,,,
SDR,441652,542476,542476,80,东源黄村支局LBBU5(原C网BBU:147-东源黄村接入网),ENBFunctionNBIoT,东源黄村支局F_NB(CL双模)_0（工程）,542476-80,460-11-542476-80,460,11,460-11,869.5,869.5,5,432,33914,1,1,40.0,40.0,29.2,V6.20.10.00,V6.20.10,V6.20.10.00,1,0,5,1,3,8.150.51.6,ENBFunctionNBIoT=542476,"ENBFunctionNBIoT=542476,EUtranCellNBIoT=3","ENBFunctionNBIoT=542476,ECellEquipmentFunctionNB=1","Operator=1,Plmn=1",0,"Equipment=1,Rack=51,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=3,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN1A,20493,0,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,1,1,,,,,,
