DataTime,NetMode,StatType,StatItem,ItemNum
20260306,LTE,RRUStatistic,R8862A S1800(B6A),17
20260306,LTE,RRUStatistic,R8862 S1800(A6B),1
20260306,LTE,RRUStatistic,R8862 S1800(B6A),1
20260306,LTE,RRUStatistic,R8862A S2100(D4B),12
20260306,LTE,RRUStatistic,R8402 S2100(A5A),2
20260306,LTE,RRUStatistic,R8862A S1800(A4B),2
20260306,LTE,RRUStatistic,R8402 S2100(A5B),4
20260306,LTE,RRUStatistic,R8862 S2100(A6A),3
20260306,LTE,RRUStatistic,R8862A S2100(D6B),1
20260306,LTE,RRUStatistic,R8119 F851821(A1A),111
20260306,LTE,RRUStatistic,R8108 F851821(A5A),174
20260306,LTE,RRUStatistic,R8862A S2100(A6B),5
20260306,LTE,RRUStatistic,R8862A S1800(B6B),1
20260306,LTE,RRUStatistic,R8862A S8500(A6B),3
20260306,LTE,RRUStatistic,R8402 S1800(A5A),2
20260306,LTE,RRUStatistic,A8612 M1821(A6B),1
20260306,LTE,BasebandBoardStatistic,VBPe24,284
20260306,LTE,BasebandBoardStatistic,VBPd19,202
20260306,LTE,BasebandBoardStatistic,VBPd04,62
20260306,LTE,BasebandBoardStatistic,VBPe04,65
20260306,LTE,BasebandBoardStatistic,VBPd24,131
20260306,LTE,BasebandBoardStatistic,BPN0A,208
20260306,LTE,BasebandBoardStatistic,BPN0,720
20260306,LTE,BasebandBoardStatistic,BPN0_b,99
20260306,LTE,BasebandBoardStatistic,BPN1A,276
20260306,LTE,BasebandBoardStatistic,BPQ0,23
20260306,LTE,BasebandBoardStatistic,BPL1,68
20260306,LTE,BasebandBoardStatistic,BPN1_A,69
20260306,LTE,BasebandBoardStatistic,BPN2,84
20260306,LTE,FrequencyBandStatistic,874.2_10M,3877
20260306,LTE,FrequencyBandStatistic,1850.0_20M,1838
20260306,LTE,FrequencyBandStatistic,2120.0_20M,734
20260306,LTE,FrequencyBandStatistic,1870.0_20M,1833
20260306,LTE,FrequencyBandStatistic,2140.0_20M,15
20260306,LTE,FrequencyBandStatistic,1867.5_15M,51
20260306,LTE,FrequencyBandStatistic,1870.0_15M,1
20260306,LTE,FrequencyBandStatistic,1850.0_15M,3
20260306,LTE,VersionStatistic,V5.75.10.20A03#V5.75.10.20F15,2647
20260306,LTE,VersionStatistic,V5.75.20.20A04#V5.75.20.20,11
20260306,LTE,VersionStatistic,L_D_V6.20.10.00,3583
20260306,LTE,VersionStatistic,LN_D_V6.20.10.00,2003
