"GO_N5_4G河源龙川_龙母大塘RRU2-XJ"	115.408331	24.262769	200.0	"blue"
"GO_N5_4G河源龙川_龙母大塘RRU3-XJ"	115.408331	24.262769	310.0	"blue"
"GO_N5_4G河源龙川_新田径塘RRU2-XJ"	115.57388	24.45661	100.0	"blue"
"GO_N5_4G河源龙川_河惠莞龙母上村凹RRU1-XJ"	115.409448	24.22167	60.0	"blue"
"GO_N5_4G河源龙川_车田赤木-2RRU1-XJ"	115.255775	24.501105	160.0	"blue"
"GO_N5_4G河源龙川_车田鹤輋RRU2-XJ"	115.25083	24.52722	160.0	"blue"
"GO_N5_4G河源龙川_赤光下輋-2RRU1-XJ"	115.459445	24.425001	10.0	"blue"
"GO_N5_4G河源龙川_赤光下輋-2RRU3-XJ"	115.459445	24.425001	180.0	"blue"
"GO_N5_4G河源龙川_车田赤木-2RRU2-XJ"	115.255775	24.501105	250.0	"blue"
"GO_N5_4G河源龙川_车田赤木-2RRU3-XJ"	115.255775	24.501105	340.0	"blue"
"GO_N5_4G河源龙川_河惠莞瑶坑大桥RRU3-XJ"	115.449476	24.327605	330.0	"blue"
"GO_N5_4G河源龙川_河惠莞瑶坑大桥RRU2-XJ"	115.449476	24.327605	190.0	"blue"
"GO_N5_4G河源龙川_河惠莞瑶坑大桥RRU1-XJ"	115.449476	24.327605	30.0	"blue"
"GO_N5_4G河源龙川_赤光再头-2RRU3-XJ"	115.458001	24.33994	230.0	"blue"
"GO_N5_4G河源龙川_赤光再头-2RRU1-XJ"	115.458001	24.33994	0.0	"blue"
"GO_N5_4G河源龙川_新田小良村基站01RRU2-XJ"	115.524588	24.485732	100.0	"blue"
"GO_N5_4G河源龙川_新田小良村基站01RRU3-XJ"	115.524588	24.485732	230.0	"blue"
"GO_N5_4G河源龙川_新田径塘RRU3-XJ"	115.57388	24.45661	230.0	"blue"
"GO_N5_4G河源龙川_车田鹤輋RRU1-XJ"	115.25083	24.52722	50.0	"blue"
"GO_N5_4G河源龙川_新田大岭RRU1-XJ"	115.55096	24.46292	0.0	"blue"
"GO_N5_4G河源龙川_新田大岭RRU3-XJ"	115.55096	24.46292	230.0	"blue"
"GO_N5_4G河源龙川_新田径塘RRU1-XJ"	115.57388	24.45661	0.0	"blue"
"GO_N5_4G河源龙川_新田双柳RRU2-XJ"	115.471534	24.452611	220.0	"blue"
"GO_N5_4G河源龙川_新田小良村基站01RRU1-XJ"	115.524588	24.485732	0.0	"blue"
