DataTime,NetMode,StatType,StatItem,ItemNum
20260415,LTE,RRUStatistic,R8862A S2100(D4B),12
20260415,LTE,RRUStatistic,R8108 F851821(A5A),174
20260415,LTE,RRUStatistic,R8862A S2100(A6A),20
20260415,LTE,RRUStatistic,R8862A S1800(A4B),2
20260415,LTE,RRUStatistic,R8862A S1800(B6A),17
20260415,LTE,RRUStatistic,R8862A S2100(A4B),23
20260415,LTE,RRUStatistic,R8872A S8500(A8A),22
20260415,LTE,RRUStatistic,R8862A S8500(A6B),3
20260415,LTE,RRUStatistic,R8862 S2100(A6A),3
20260415,LTE,RRUStatistic,R8402 S1800(A5A),2
20260415,LTE,RRUStatistic,R8862 S1800(A6A),3
20260415,LTE,RRUStatistic,R8862 S1800(A6B),1
20260415,LTE,RRUStatistic,R8862 S1800(B6A),1
20260415,LTE,RRUStatistic,R8862A S1800(B6B),1
20260415,LTE,RRUStatistic,R8402 S2100(A5A),2
20260415,LTE,RRUStatistic,R8402 S2100(A5B),4
20260415,LTE,RRUStatistic,R8862A S2100(D6B),1
20260415,LTE,RRUStatistic,A8612 M1821(A6B),1
20260415,LTE,BasebandBoardStatistic,VBPe24,286
20260415,LTE,BasebandBoardStatistic,VBPd19,202
20260415,LTE,BasebandBoardStatistic,VBPe04,68
20260415,LTE,BasebandBoardStatistic,VBPd04,62
20260415,LTE,BasebandBoardStatistic,VBPd24,131
20260415,LTE,BasebandBoardStatistic,BPN0,720
20260415,LTE,BasebandBoardStatistic,BPN1_A,71
20260415,LTE,BasebandBoardStatistic,BPN0A,208
20260415,LTE,BasebandBoardStatistic,BPN0_b,99
20260415,LTE,BasebandBoardStatistic,BPN1A,275
20260415,LTE,BasebandBoardStatistic,BPL1,65
20260415,LTE,BasebandBoardStatistic,BPN2,84
20260415,LTE,BasebandBoardStatistic,BPQ0,23
20260415,LTE,FrequencyBandStatistic,874.2_10M,3880
20260415,LTE,FrequencyBandStatistic,1870.0_20M,1845
20260415,LTE,FrequencyBandStatistic,2120.0_20M,734
20260415,LTE,FrequencyBandStatistic,1850.0_20M,1839
20260415,LTE,FrequencyBandStatistic,1867.5_15M,51
20260415,LTE,FrequencyBandStatistic,2140.0_20M,15
20260415,LTE,FrequencyBandStatistic,1870.0_15M,1
20260415,LTE,FrequencyBandStatistic,1850.0_15M,3
20260415,LTE,VersionStatistic,V5.75.10.20A03#V5.75.10.20F15,2656
20260415,LTE,VersionStatistic,V5.75.20.20A04#V5.75.20.20,14
20260415,LTE,VersionStatistic,LN_D_V6.20.10.00,2011
20260415,LTE,VersionStatistic,L_D_V6.20.10.00,3579
20260415,LTE,VersionStatistic,LN_D_V6.10.10.00,94
20260415,LTE,VersionStatistic,L_D_V6.10.10.00,14
20260415,NR,BasicStatistic,NRSiteNumber,2590
20260415,NR,BasicStatistic,NRNoneQcellSiteNumber,2278
20260415,NR,BasicStatistic,NRQcellSiteNumber,101
20260415,NR,BasicStatistic,NRSASiteNumber,0
20260415,NR,BasicStatistic,NRNSASiteNumber,2335
20260415,NR,BasicStatistic,TNRSiteNumber,1265
20260415,NR,BasicStatistic,FNRSiteNumber,1325
20260415,NR,BasicStatistic,NRCellNumber,14211
20260415,NR,BasicStatistic,NRNoneQcellCellNumber,13677
20260415,NR,BasicStatistic,NRQcellNumber,534
20260415,NR,BasicStatistic,NRSACellNumber,0
20260415,NR,BasicStatistic,NRNSACellNumber,14211
20260415,NR,BasicStatistic,TNRCellNumber,7170
20260415,NR,BasicStatistic,FNRCellNumber,7041
20260415,NR,BasicStatistic,NRSubnetworkNumber,2
20260415,NR,AAUStatistic,R8894E M1821(A8C),73
20260415,NR,AAUStatistic,R9606A S35,187
20260415,NR,AAUStatistic,R9604 S35,1042
20260415,NR,AAUStatistic,R9234E S2100(A8A),1271
20260415,NR,AAUStatistic,A9642A S35,689
20260415,NR,AAUStatistic,R9254 S8500(A6A),1787
20260415,NR,AAUStatistic,R8149 M1835B,40
20260415,NR,AAUStatistic,R9212E S2100(A8A),455
20260415,NR,AAUStatistic,R8149 M2135B,140
20260415,NR,AAUStatistic,R9614 S35,204
20260415,NR,AAUStatistic,R8894E S2100(A8C),32
20260415,NR,AAUStatistic,R8862A S2100(A4A),118
20260415,NR,AAUStatistic,R9242 M1821(ACC),20
20260415,NR,AAUStatistic,A9631A S35,571
20260415,NR,AAUStatistic,R9264 M1821(ACA),263
20260415,NR,AAUStatistic,A9611 S35,333
20260415,NR,AAUStatistic,R9224H M1821(ACC),386
20260415,NR,AAUStatistic,R8149 M182135,500
20260415,NR,AAUStatistic,R9254E S2100(A8A),94
20260415,NR,AAUStatistic,R9268E M1821(A8A),130
20260415,NR,AAUStatistic,R8149 T3500,1255
20260415,NR,AAUStatistic,A9622A S35,81
20260415,NR,AAUStatistic,R9242E M1821(AGA),26
20260415,NR,AAUStatistic,AP9642A M35F,6
20260415,NR,AAUStatistic,R9248 S2100(A4A),18
20260415,NR,AAUStatistic,R9115 M1835,45
20260415,NR,AAUStatistic,R8862A S2100(A6A),1
20260415,NR,AAUStatistic,R8862A S2100(D6A),1
20260415,NR,AAUStatistic,R9626S S35,9
20260415,NR,BasebandBoardStatistic,VBPd04,603
20260415,NR,BasebandBoardStatistic,VBPd41,468
20260415,NR,BasebandBoardStatistic,VBPe04,191
20260415,NR,BasebandBoardStatistic,VBPd02,264
20260415,NR,BasebandBoardStatistic,VBPd19,202
20260415,NR,BasebandBoardStatistic,VBPe41,99
20260415,NR,BasebandBoardStatistic,VBPe24,304
20260415,NR,BasebandBoardStatistic,VBPe02,14
20260415,NR,BasebandBoardStatistic,VBPd01,216
20260415,NR,BasebandBoardStatistic,VBPc5,98
20260415,NR,BasebandBoardStatistic,VBPd24,131
20260415,NR,BasebandBoardStatistic,VBPe01,37
20260415,NR,BasebandBoardStatistic,VBPd23,1
20260415,NR,BasebandBoardStatistic,VBPe53,2
20260415,NR,BasebandBoardStatistic,VBPe54,2
20260415,NR,FrequencyBandStatistic,2144.55_20M,1310
20260415,NR,FrequencyBandStatistic,3309.6_100M,560
20260415,NR,FrequencyBandStatistic,3408.96_100M,6251
20260415,NR,FrequencyBandStatistic,2144.55_40M,3592
20260415,NR,FrequencyBandStatistic,877.35_15M,673
20260415,NR,FrequencyBandStatistic,880.95_15M,1114
20260415,NR,FrequencyBandStatistic,3509.76_100M,359
20260415,NR,FrequencyBandStatistic,2118.15_40M,314
20260415,NR,FrequencyBandStatistic,2114.55_20M,38
20260415,NR,VersionStatistic,V5.75.10.20A03#V5.75.10.20F15,14067
20260415,NR,VersionStatistic,V5.75.20.20A04#V5.75.20.20,144
