ManagedElementType,SubNetwork,ManagedElement,eNBId,cellLocalId,NE_Name,eNBName,cellName,plmn,plmnIdList,frequency,freqBandInd,bandWidth,pci,tac,radioMode,isMultiCP,connectionState,maintainState,administrativeState,ranShareSwitch,ipAddress,mimVersion_full,mimVersion,mimVersion_8,sceneCfg,cellCapaLeveInd,cellSize,rootSequenceIndex,maxCPTransPwr,cpTransPwr,cpSpeRefSigPwr,paForDTCH,pb,networkingMode,antMapDlSeq,antMapUlSeq,rfAppMode,refEUtranCell,refENBFunction,refPlmn_enb,refPlmn,refECellEquipFunc,endcAnchorImmciSwch,earfcn,enDcSwch,ENBFunctionId,cellRSPortNum,refRfDevice,refBpDevice,rruNames,rruName_5,rruRadioMode,bbuName,functionMode,fiberNum,fiberRate,fiberCascade,McDeviceSet,ccName,rruSN,bpSN,ccSN,bbuSN,rruOnAirTime,aauUnitNum,vbpUnitNum
SDR,441651,540726,540726,49,市区玫瑰路口LF,市区玫瑰路口LF,市区金沙湾酒店_1.8G_1,460-11,460-11;460-01,1870.0,3,20M,67,33797,FDD,0,1,0,5,1,8.150.11.139,LN_D_V6.20.10.00,V6.20.10.00,V6.20.10,0,2,1,640,49.0,48.9,18.2,2,1,3,1;0;0;1,1;1;1;1,0,"ENBFunctionFDD=540726,EUtranCellFDD=2",ENBFunctionFDD=540726,"Operator=2,Plmn=1","Operator=2,Plmn=1;Operator=3,Plmn=1","ENBFunctionFDD=540726,ECellEquipmentFunction=2",0,1870.0,0,540726,1,"Equipment=1,Rack=52,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=6,PlugInUnit=1,SdrDeviceGroup=1",R8862A S1800(A4A),R8862,16,BPN0,4104,2,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,,,,,,1,1
SDR,441651,541280,541280,23,和平贝墩支局F,和平贝墩支局F,和平贝墩长塘里_800M_1,460-11,460-11;460-01,874.2,5,10M,129,33809,FDD,0,1,0,5,1,8.150.22.6,L_D_V6.20.10.00,V6.20.10.00,V6.20.10,0,2,1,172,49.0,48.9,21.2,2,1,3,1;0;0;1,1;1;1;1,0,"ENBFunctionFDD=541280,EUtranCellFDD=13",ENBFunctionFDD=541280,"Operator=2,Plmn=1","Operator=2,Plmn=1;Operator=3,Plmn=1","ENBFunctionFDD=541280,ECellEquipmentFunction=13",0,874.2,0,541280,1,"Equipment=1,Rack=63,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=6,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16,BPN0,4104,5,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,,,,,,1,1
SDR,441652,540722,540722,48,市区扬子坑F,市区扬子坑F,市区扬子坑F_0,460-11,460-11;460-01,1870.0,3,20M,144,10158,FDD,0,1,0,5,1,8.150.9.130,LN_D_V6.10.10.00,V6.10.10.00,V6.10.10,0,1,1,800,49.0,45.9,12.2,4,0,3,1;0;0;1,1;1;1;1,0,"ENBFunctionFDD=540722,EUtranCellFDD=1",ENBFunctionFDD=540722,"Operator=2,Plmn=1","Operator=2,Plmn=1;Operator=3,Plmn=1","ENBFunctionFDD=540722,ECellEquipmentFunction=1",0,1870.0,0,540722,1,"Equipment=1,Rack=51,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=6,PlugInUnit=1,SdrDeviceGroup=1",R8862A S1800(A4A),R8862,16,BPN0,4104,3,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,,,,,,1,1
SDR,441652,540763,540763,17,连平忠信嘉州宾馆LF,连平忠信嘉州宾馆LF,连平忠信老街LF_800M_1（工程）,460-11,460-11;460-01,874.2,5,10M,3,33811,FDD,0,1,0,5,1,8.150.17.4,LN_D_V6.20.10.00,V6.20.10.00,V6.20.10,0,2,1,736,49.0,48.9,21.2,2,1,3,1;0;0;1,1;1;1;1,0,"ENBFunctionFDD=540763,EUtranCellFDD=5",ENBFunctionFDD=540763,"Operator=2,Plmn=1","Operator=2,Plmn=1;Operator=3,Plmn=1","ENBFunctionFDD=540763,ECellEquipmentFunction=5",0,874.2,0,540763,1,"Equipment=1,Rack=55,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=8,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN2,8409089,2,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,,,,,,1,1
SDR,441651,540984,540984,53,龙川下泡水LF,龙川下泡水LF,龙川水上新村F_2,460-11,460-11;460-01,1850.0,3,20M,446,33808,FDD,0,1,0,5,1,8.150.16.29,L_D_V6.20.10.00,V6.20.10.00,V6.20.10,0,2,1,88,49.0,45.9,15.2,2,1,3,1;0;0;1,1;1;1;1,0,"ENBFunctionFDD=540984,EUtranCellFDD=6",ENBFunctionFDD=540984,"Operator=2,Plmn=1","Operator=2,Plmn=1;Operator=3,Plmn=1","ENBFunctionFDD=540984,ECellEquipmentFunction=6",0,1850.0,0,540984,1,"Equipment=1,Rack=56,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=6,PlugInUnit=1,SdrDeviceGroup=1",R8862A S1800(A4A),R8862,16,BPN0,8392712,2,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCC,,,,,,1,1
SDR,441652,540713,540713,17,市区高新区南开实验学校F,市区高新区南开实验学校F,市区高新区南开实验学校F_800M_1（工程）,460-11,460-11,874.2,5,10M,310,33802,FDD,0,1,0,5,1,8.150.8.133,LN_D_V6.20.10.00,V6.20.10.00,V6.20.10,0,2,1,362,49.0,48.9,21.2,2,1,3,1;0;0;1,1;1;1;1,0,"ENBFunctionFDD=540713,EUtranCellFDD=5",ENBFunctionFDD=540713,"Operator=2,Plmn=1","Operator=2,Plmn=1","ENBFunctionFDD=540713,ECellEquipmentFunction=5",0,874.2,0,540713,1,"Equipment=1,Rack=55,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=8,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN1A,20493,3,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,,,,,,1,1
SDR,441651,541038,541038,18,和平热水路口YF,和平热水路口YF,和平大坝超田-2_800M_2,460-11,460-11,874.2,5,10M,413,33810,FDD,0,1,0,5,1,8.150.15.25,LN_D_V6.20.10.00,V6.20.10.00,V6.20.10,0,2,1,346,49.0,48.9,21.2,2,1,3,1;0;0;1,1;1;1;1,0,"ENBFunctionFDD=541038,EUtranCellFDD=11",ENBFunctionFDD=541038,"Operator=2,Plmn=1","Operator=2,Plmn=1","ENBFunctionFDD=541038,ECellEquipmentFunction=11",0,874.2,0,541038,1,"Equipment=1,Rack=61,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=8,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16,BPN2,20481,1,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,,,,,,1,1
SDR,441651,541038,541038,16,和平热水路口YF,和平热水路口YF,和平大坝超田-2_800M_0,460-11,460-11,874.2,5,10M,411,33810,FDD,0,1,0,5,1,8.150.15.25,LN_D_V6.20.10.00,V6.20.10.00,V6.20.10,0,1,1,346,49.0,48.9,21.2,2,1,3,1;0;0;1,1;1;1;1,0,"ENBFunctionFDD=541038,EUtranCellFDD=9",ENBFunctionFDD=541038,"Operator=2,Plmn=1","Operator=2,Plmn=1","ENBFunctionFDD=541038,ECellEquipmentFunction=9",0,874.2,0,541038,1,"Equipment=1,Rack=59,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=8,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16,BPN2,20481,1,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,,,,,,1,1
SDR,441651,540984,540984,52,龙川下泡水LF,龙川下泡水LF,龙川水上新村F_1,460-11,460-11;460-01,1850.0,3,20M,403,33808,FDD,0,1,0,5,1,8.150.16.29,L_D_V6.20.10.00,V6.20.10.00,V6.20.10,0,2,1,88,49.0,48.9,18.2,2,1,3,1;0;0;1,1;1;1;1,0,"ENBFunctionFDD=540984,EUtranCellFDD=5",ENBFunctionFDD=540984,"Operator=2,Plmn=1","Operator=2,Plmn=1;Operator=3,Plmn=1","ENBFunctionFDD=540984,ECellEquipmentFunction=5",0,1850.0,0,540984,1,"Equipment=1,Rack=55,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=6,PlugInUnit=1,SdrDeviceGroup=1",R8862A S1800(A4A),R8862,16,BPN0,8392712,2,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCC,,,,,,1,1
SDR,441652,540821,540821,50,龙川下泡水F,龙川下泡水F,龙川下泡水F_2,460-11,460-11;460-01,1850.0,3,20M,330,33808,FDD,0,1,0,5,1,8.150.16.18,LN_D_V6.20.10.00,V6.20.10.00,V6.20.10,0,2,1,657,49.0,48.9,18.2,2,1,3,1;0;0;1,1;1;1;1,0,"ENBFunctionFDD=540821,EUtranCellFDD=3",ENBFunctionFDD=540821,"Operator=2,Plmn=1","Operator=2,Plmn=1;Operator=3,Plmn=1","ENBFunctionFDD=540821,ECellEquipmentFunction=3",0,1850.0,0,540821,1,"Equipment=1,Rack=53,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=6,PlugInUnit=1,SdrDeviceGroup=1",R8862A S1800(A4A),R8862,16,BPN0,4104,2,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,,,,,,1,1
SDR,441652,540713,540713,18,市区高新区南开实验学校F,市区高新区南开实验学校F,市区高新区南开实验学校F_800M_2（工程）,460-11,460-11,874.2,5,10M,309,33802,FDD,0,1,0,5,1,8.150.8.133,LN_D_V6.20.10.00,V6.20.10.00,V6.20.10,0,2,1,362,49.0,48.9,21.2,2,1,3,1;0;0;1,1;1;1;1,0,"ENBFunctionFDD=540713,EUtranCellFDD=6",ENBFunctionFDD=540713,"Operator=2,Plmn=1","Operator=2,Plmn=1","ENBFunctionFDD=540713,ECellEquipmentFunction=6",0,874.2,0,540713,1,"Equipment=1,Rack=56,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=8,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN1A,20493,3,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,,,,,,1,1
SDR,441651,541241,541241,16,紫金柏埔支局F,紫金柏埔支局F,紫金柏埔支局F_800M_0（工程）,460-11,460-11;460-01,874.2,5,10M,414,33804,FDD,0,1,0,5,1,8.150.17.183,LN_D_V6.20.10.00,V6.20.10.00,V6.20.10,0,2,1,642,49.0,48.9,21.2,2,1,3,1;0;0;1,1;1;1;1,0,"ENBFunctionFDD=541241,EUtranCellFDD=4",ENBFunctionFDD=541241,"Operator=2,Plmn=1","Operator=2,Plmn=1;Operator=3,Plmn=1","ENBFunctionFDD=541241,ECellEquipmentFunction=4",0,874.2,0,541241,1,"Equipment=1,Rack=54,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=8,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN1A,20493,2,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,,,,,,1,1
SDR,441652,541213,541213,52,龙川鹤市支局F,龙川鹤市支局F,龙川鹤市社坑_1.8GF_0(LT),460-11,460-11;460-01,1850.0,3,20M,474,9908,FDD,0,1,0,5,1,8.150.40.2,L_D_V6.20.10.00,V6.20.10.00,V6.20.10,0,2,1,45,46.0,45.9,15.2,2,1,3,1;0;0;1,1;0;0;1,0,"ENBFunctionFDD=541213,EUtranCellFDD=15",ENBFunctionFDD=541213,"Operator=2,Plmn=1","Operator=2,Plmn=1;Operator=3,Plmn=1","ENBFunctionFDD=541213,ECellEquipmentFunction=15",0,1850.0,0,541213,1,"Equipment=1,Rack=55,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=8,PlugInUnit=1,SdrDeviceGroup=1",R8862A S1800(A4A),R8862,16,BPN1A,4104,1,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,,,,,,1,1
SDR,441652,542567,542567,16,龙川锦归支局LBBU2,龙川锦归支局LBBU2,龙川通衢桐木_800M_0,460-11,460-11;460-01,874.2,5,10M,157,9908,FDD,0,1,0,5,1,8.150.20.14,L_D_V6.20.10.00,V6.20.10.00,V6.20.10,0,2,1,346,49.0,48.9,18.2,4,0,3,1;0;0;1,1;1;1;1,0,"ENBFunctionFDD=542567,EUtranCellFDD=1",ENBFunctionFDD=542567,"Operator=2,Plmn=1","Operator=2,Plmn=1;Operator=3,Plmn=1","ENBFunctionFDD=542567,ECellEquipmentFunction=1",0,874.2,0,542567,1,"Equipment=1,Rack=51,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=6,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16,BPN0,4104,2,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,,,,,,1,1
SDR,441652,542498,542498,20,东源仙塘新局LBBU11(原C网BBU:218-东源仙塘新局(东源胜业苑)),东源仙塘新局LBBU11(原C网BBU:218-东源仙塘新局(东源胜业苑)),东源仙塘中学_800M(CL双模)_0（工程）,460-11,460-11;460-01,874.2,5,10M,191,33800,FDD,0,1,0,5,1,8.150.14.74,LN_D_V6.20.10.00,V6.20.10.00,V6.20.10,0,2,1,350,49.0,48.9,21.2,2,1,3,1;0;0;1,1;0;0;1,0,"ENBFunctionFDD=542498,EUtranCellFDD=5",ENBFunctionFDD=542498,"Operator=1,Plmn=1","Operator=1,Plmn=1;Operator=2,Plmn=1","ENBFunctionFDD=542498,ECellEquipmentFunction=5",0,874.2,0,542498,1,"Equipment=1,Rack=55,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=3,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN2,8409097,0,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,,,,,,1,1
